,Solution,Fitness,ARPD
0,"[14, 0, 8, 5, 13, 4, 16, 7, 1, 18, 15, 12, 3, 6, 10, 17, 9, 11, 2, 19]",1297.0,1.486697965571205
1,"[14, 8, 5, 16, 3, 15, 12, 13, 9, 1, 6, 10, 7, 4, 0, 18, 17, 11, 2, 19]",1297.0,1.486697965571205
2,"[14, 2, 16, 13, 5, 8, 4, 0, 3, 17, 15, 18, 6, 10, 7, 9, 1, 12, 19, 11]",1294.0,1.2519561815336464
3,"[14, 5, 8, 0, 13, 10, 3, 1, 12, 15, 6, 16, 4, 7, 9, 18, 17, 11, 2, 19]",1297.0,1.486697965571205
4,"[5, 14, 8, 13, 2, 10, 6, 16, 7, 3, 18, 15, 4, 17, 0, 11, 1, 12, 9, 19]",1297.0,1.486697965571205
5,"[14, 5, 3, 13, 10, 8, 4, 16, 17, 18, 0, 6, 2, 11, 1, 7, 15, 12, 9, 19]",1297.0,1.486697965571205
6,"[2, 14, 0, 3, 10, 13, 4, 8, 6, 12, 16, 7, 1, 17, 11, 15, 5, 18, 9, 19]",1297.0,1.486697965571205
7,"[14, 13, 5, 15, 8, 4, 17, 6, 10, 16, 3, 0, 1, 9, 2, 11, 7, 18, 12, 19]",1297.0,1.486697965571205
8,"[5, 14, 3, 10, 7, 8, 1, 13, 18, 12, 0, 4, 16, 15, 17, 11, 9, 2, 6, 19]",1302.0,1.8779342723004695
9,"[14, 8, 5, 13, 3, 10, 16, 15, 12, 17, 4, 1, 6, 11, 0, 18, 7, 2, 9, 19]",1297.0,1.486697965571205
