,Solution,Fitness,ARPD
0,"[2, 15, 0, 17, 19, 6, 10, 18, 13, 9, 12, 4, 11, 8, 16, 5, 3, 7, 14, 1]",1098.0,1.572617946345976
1,"[15, 13, 19, 3, 17, 11, 9, 4, 0, 10, 2, 18, 5, 12, 14, 6, 16, 8, 7, 1]",1132.0,4.717853839037928
2,"[2, 15, 13, 19, 17, 4, 9, 3, 6, 11, 0, 18, 8, 7, 16, 12, 10, 5, 14, 1]",1098.0,1.572617946345976
3,"[15, 13, 19, 17, 11, 2, 4, 9, 0, 6, 18, 7, 10, 14, 8, 1, 3, 16, 5, 12]",1132.0,4.717853839037928
4,"[2, 19, 18, 13, 15, 3, 6, 0, 11, 5, 10, 9, 17, 14, 4, 12, 8, 7, 16, 1]",1107.0,2.4051803885291396
5,"[15, 10, 2, 18, 13, 19, 17, 6, 11, 9, 0, 16, 4, 8, 12, 5, 14, 7, 1, 3]",1132.0,4.717853839037928
6,"[15, 13, 10, 9, 2, 19, 0, 18, 17, 11, 6, 4, 8, 7, 16, 1, 5, 3, 12, 14]",1132.0,4.717853839037928
7,"[15, 2, 17, 6, 18, 0, 4, 13, 9, 3, 12, 19, 11, 10, 8, 16, 5, 7, 14, 1]",1132.0,4.717853839037928
8,"[15, 2, 17, 19, 0, 4, 13, 18, 10, 16, 9, 6, 12, 11, 8, 14, 5, 1, 7, 3]",1132.0,4.717853839037928
9,"[2, 15, 0, 17, 19, 13, 18, 6, 11, 4, 9, 8, 3, 16, 7, 10, 5, 12, 14, 1]",1098.0,1.572617946345976
