,Solution,Fitness,ARPD
0,"[14, 9, 5, 11, 16, 8, 4, 15, 6, 2, 10, 12, 0, 18, 3, 1, 17, 19, 13, 7]",1383.0,1.7660044150110374
1,"[14, 11, 5, 0, 17, 6, 4, 18, 9, 12, 13, 3, 2, 19, 16, 1, 8, 7, 10, 15]",1383.0,1.7660044150110374
2,"[5, 19, 6, 2, 18, 9, 8, 11, 12, 10, 4, 16, 3, 1, 17, 7, 13, 15, 14, 0]",1368.0,0.6622516556291391
3,"[5, 6, 9, 16, 19, 0, 12, 3, 18, 8, 4, 7, 11, 1, 15, 2, 17, 10, 13, 14]",1366.0,0.515084621044886
4,"[14, 2, 6, 11, 0, 18, 9, 3, 12, 19, 10, 7, 17, 15, 5, 8, 4, 16, 1, 13]",1383.0,1.7660044150110374
5,"[14, 6, 19, 16, 11, 12, 15, 4, 9, 17, 10, 0, 18, 13, 2, 8, 1, 7, 5, 3]",1383.0,1.7660044150110374
6,"[14, 2, 5, 9, 6, 11, 13, 19, 15, 3, 0, 12, 10, 17, 8, 18, 4, 1, 16, 7]",1383.0,1.7660044150110374
7,"[14, 11, 2, 6, 8, 16, 9, 19, 4, 3, 1, 15, 13, 5, 0, 12, 18, 10, 17, 7]",1383.0,1.7660044150110374
8,"[14, 5, 2, 6, 12, 9, 16, 19, 11, 7, 3, 15, 17, 10, 13, 18, 4, 8, 1, 0]",1383.0,1.7660044150110374
9,"[14, 6, 11, 0, 5, 10, 7, 19, 17, 2, 9, 3, 12, 1, 18, 4, 15, 8, 13, 16]",1383.0,1.7660044150110374
