,Solution,Fitness,ARPD
0,"[7, 12, 19, 17, 11, 0, 5, 13, 1, 14, 2, 18, 16, 10, 8, 15, 3, 6, 4, 9]",1489.0,4.933051444679352
1,"[7, 12, 15, 16, 17, 11, 5, 0, 18, 8, 1, 13, 14, 10, 19, 2, 3, 9, 6, 4]",1476.0,4.016913319238901
2,"[15, 7, 3, 12, 13, 2, 1, 16, 5, 0, 17, 19, 11, 18, 14, 6, 9, 10, 8, 4]",1468.0,3.453136011275546
3,"[7, 3, 17, 2, 5, 0, 18, 15, 13, 1, 16, 14, 10, 12, 19, 11, 8, 6, 9, 4]",1482.0,4.439746300211416
4,"[7, 12, 17, 0, 19, 14, 2, 1, 18, 5, 13, 9, 3, 8, 11, 16, 15, 6, 10, 4]",1504.0,5.990133897110641
5,"[7, 12, 17, 0, 11, 5, 3, 2, 13, 1, 19, 14, 10, 18, 15, 6, 4, 8, 16, 9]",1467.0,3.382663847780127
6,"[7, 3, 17, 14, 5, 11, 16, 0, 18, 2, 1, 12, 10, 15, 13, 19, 8, 6, 4, 9]",1492.0,5.1444679351656095
7,"[7, 17, 3, 15, 12, 5, 13, 16, 9, 14, 2, 0, 18, 10, 1, 19, 11, 8, 6, 4]",1497.0,5.496828752642706
8,"[7, 19, 12, 17, 15, 2, 0, 5, 13, 1, 8, 3, 16, 14, 18, 9, 11, 10, 6, 4]",1501.0,5.778717406624383
9,"[7, 12, 17, 5, 0, 19, 14, 1, 2, 13, 18, 16, 15, 11, 6, 8, 3, 10, 9, 4]",1489.0,4.933051444679352
