,Solution,Fitness,ARPD
0,"[15, 5, 9, 6, 10, 0, 1, 7, 19, 4, 12, 11, 17, 13, 18, 2, 16, 3, 14, 8]",1136.0,2.527075812274368
1,"[10, 4, 15, 7, 1, 0, 11, 2, 5, 12, 9, 18, 6, 17, 19, 13, 16, 3, 14, 8]",1127.0,1.7148014440433212
2,"[15, 5, 9, 1, 6, 10, 17, 7, 12, 18, 0, 16, 13, 2, 4, 19, 11, 3, 14, 8]",1136.0,2.527075812274368
3,"[5, 9, 12, 7, 15, 6, 0, 17, 1, 2, 18, 11, 10, 4, 19, 13, 16, 3, 14, 8]",1174.0,5.956678700361011
4,"[10, 5, 15, 0, 11, 9, 18, 12, 2, 17, 1, 7, 13, 6, 19, 4, 16, 3, 14, 8]",1142.0,3.068592057761733
5,"[4, 15, 11, 6, 10, 17, 1, 7, 5, 2, 12, 0, 18, 13, 9, 16, 19, 3, 14, 8]",1127.0,1.7148014440433212
6,"[5, 9, 15, 7, 18, 1, 17, 10, 0, 12, 2, 11, 4, 6, 13, 16, 8, 14, 3, 19]",1174.0,5.956678700361011
7,"[6, 4, 10, 15, 0, 1, 5, 7, 18, 12, 17, 11, 13, 9, 19, 2, 16, 3, 14, 8]",1127.0,1.7148014440433212
8,"[10, 6, 15, 5, 7, 9, 1, 17, 12, 0, 18, 4, 19, 11, 13, 2, 14, 16, 3, 8]",1111.0,0.27075812274368233
9,"[4, 15, 10, 6, 5, 9, 2, 19, 7, 11, 1, 0, 12, 17, 18, 13, 14, 16, 3, 8]",1120.0,1.0830324909747293
