,Solution,Fitness,ARPD
0,"[10, 13, 16, 5, 12, 4, 17, 19, 0, 15, 11, 14, 7, 6, 9, 8, 3, 18, 1, 2]",1210.0,1.2552301255230125
1,"[10, 12, 5, 15, 16, 11, 8, 13, 6, 0, 17, 9, 19, 3, 14, 4, 7, 18, 2, 1]",1210.0,1.2552301255230125
2,"[10, 12, 5, 4, 15, 16, 17, 0, 6, 14, 3, 9, 11, 8, 13, 7, 19, 18, 1, 2]",1210.0,1.2552301255230125
3,"[10, 12, 5, 15, 11, 16, 19, 6, 8, 18, 3, 14, 0, 13, 17, 9, 1, 7, 4, 2]",1198.0,0.2510460251046025
4,"[13, 10, 15, 6, 4, 19, 17, 16, 12, 5, 3, 9, 0, 14, 8, 7, 11, 18, 2, 1]",1210.0,1.2552301255230125
5,"[10, 13, 5, 16, 6, 15, 17, 12, 0, 11, 8, 19, 3, 14, 9, 7, 4, 18, 1, 2]",1210.0,1.2552301255230125
6,"[10, 12, 5, 11, 16, 4, 15, 17, 0, 19, 9, 6, 18, 3, 7, 13, 14, 8, 2, 1]",1219.0,2.00836820083682
7,"[10, 13, 16, 19, 5, 6, 12, 15, 14, 11, 8, 7, 9, 0, 17, 4, 3, 18, 2, 1]",1210.0,1.2552301255230125
8,"[13, 10, 15, 16, 6, 12, 3, 19, 4, 14, 5, 17, 9, 7, 11, 8, 0, 18, 1, 2]",1210.0,1.2552301255230125
9,"[10, 5, 6, 16, 15, 11, 12, 9, 19, 17, 4, 0, 8, 3, 7, 14, 13, 18, 1, 2]",1211.0,1.3389121338912133
