,Solution,Fitness,ARPD
0,"[18, 0, 11, 12, 4, 10, 14, 15, 16, 8, 19, 1, 6, 3, 9, 7, 2, 5, 17, 13]",1724.0,3.9180229053646776
1,"[16, 7, 10, 0, 11, 18, 8, 9, 6, 13, 12, 14, 4, 19, 1, 3, 15, 2, 5, 17]",1743.0,5.063291139240507
2,"[16, 11, 10, 19, 6, 14, 0, 4, 8, 12, 9, 5, 1, 18, 15, 13, 7, 2, 3, 17]",1713.0,3.2549728752260396
3,"[18, 16, 11, 12, 14, 0, 8, 4, 1, 15, 10, 3, 6, 2, 19, 9, 7, 13, 5, 17]",1702.0,2.591922845087402
4,"[11, 16, 4, 12, 14, 6, 19, 10, 1, 0, 5, 18, 9, 3, 15, 13, 2, 8, 7, 17]",1749.0,5.424954792043399
5,"[18, 4, 8, 0, 12, 1, 11, 10, 14, 15, 19, 6, 2, 16, 3, 9, 13, 17, 7, 5]",1746.0,5.244122965641953
6,"[18, 11, 16, 8, 14, 12, 1, 10, 19, 0, 4, 6, 3, 15, 2, 9, 5, 7, 13, 17]",1695.0,2.1699819168173597
7,"[16, 11, 19, 12, 18, 14, 9, 0, 4, 10, 8, 1, 15, 3, 6, 13, 7, 2, 5, 17]",1683.0,1.4466546112115732
8,"[16, 11, 18, 14, 4, 19, 12, 6, 10, 3, 15, 8, 0, 1, 9, 13, 7, 2, 5, 17]",1700.0,2.471368294153104
9,"[16, 1, 12, 10, 11, 0, 18, 15, 14, 3, 9, 4, 8, 13, 19, 6, 2, 7, 5, 17]",1739.0,4.822182037371911
