,Solution,Fitness,ARPD
0,"[4, 1, 16, 8, 2, 12, 9, 3, 14, 17, 5, 13, 7, 19, 18, 11, 10, 0, 6, 15]",1645.0,3.982300884955752
1,"[3, 4, 11, 14, 16, 18, 17, 8, 1, 7, 19, 13, 9, 12, 2, 5, 10, 6, 0, 15]",1623.0,2.5916561314791404
2,"[4, 8, 11, 9, 13, 5, 18, 16, 2, 12, 17, 3, 1, 7, 19, 14, 10, 0, 6, 15]",1627.0,2.8445006321112514
3,"[3, 4, 11, 1, 19, 9, 13, 16, 8, 14, 17, 7, 18, 2, 5, 10, 12, 6, 0, 15]",1627.0,2.8445006321112514
4,"[4, 1, 11, 14, 8, 9, 16, 12, 2, 5, 18, 17, 7, 19, 10, 13, 6, 3, 0, 15]",1612.0,1.8963337547408343
5,"[4, 8, 11, 9, 16, 1, 14, 2, 7, 12, 10, 17, 5, 18, 13, 19, 6, 3, 0, 15]",1623.0,2.5916561314791404
6,"[3, 4, 8, 11, 14, 16, 12, 9, 13, 2, 5, 7, 18, 1, 19, 10, 6, 17, 0, 15]",1618.0,2.275600505689001
7,"[4, 8, 9, 11, 14, 16, 19, 3, 1, 2, 7, 13, 12, 10, 18, 6, 5, 17, 0, 15]",1640.0,3.666245259165613
8,"[3, 4, 8, 11, 16, 12, 2, 1, 9, 5, 18, 17, 13, 7, 19, 10, 0, 14, 6, 15]",1617.0,2.2123893805309733
9,"[4, 8, 9, 10, 14, 3, 13, 1, 11, 7, 19, 16, 2, 12, 6, 5, 18, 17, 15, 0]",1641.0,3.729456384323641
