,Solution,Fitness,ARPD
0,"[8, 15, 12, 19, 10, 11, 14, 3, 6, 1, 5, 16, 13, 9, 4, 2, 0, 17, 7, 18]",1588.0,6.149732620320855
1,"[8, 15, 12, 17, 19, 4, 6, 1, 14, 13, 11, 9, 2, 16, 10, 5, 0, 3, 18, 7]",1570.0,4.946524064171123
2,"[8, 15, 14, 9, 12, 19, 10, 5, 2, 3, 6, 1, 16, 13, 18, 11, 17, 4, 0, 7]",1566.0,4.679144385026738
3,"[8, 15, 13, 12, 10, 5, 11, 4, 3, 9, 17, 14, 19, 6, 1, 16, 0, 2, 7, 18]",1594.0,6.550802139037433
4,"[8, 15, 12, 3, 14, 6, 1, 19, 10, 5, 13, 11, 9, 4, 0, 2, 16, 17, 18, 7]",1572.0,5.080213903743315
5,"[8, 15, 12, 19, 0, 10, 5, 1, 11, 16, 2, 13, 9, 14, 17, 4, 3, 6, 7, 18]",1589.0,6.216577540106952
6,"[8, 15, 14, 9, 1, 12, 3, 2, 4, 0, 19, 11, 10, 5, 13, 17, 18, 16, 6, 7]",1570.0,4.946524064171123
7,"[8, 15, 12, 19, 13, 14, 9, 17, 1, 5, 11, 6, 16, 10, 4, 2, 18, 3, 0, 7]",1565.0,4.612299465240642
8,"[6, 8, 15, 11, 9, 12, 10, 1, 4, 0, 16, 3, 14, 5, 17, 18, 13, 19, 2, 7]",1575.0,5.280748663101604
9,"[6, 15, 5, 9, 3, 4, 14, 8, 12, 19, 2, 11, 13, 10, 1, 0, 16, 17, 7, 18]",1579.0,5.548128342245989
