,Solution,Fitness,ARPD
0,"[3, 19, 0, 17, 2, 5, 16, 9, 1, 7, 12, 10, 13, 6, 14, 8, 4, 11, 15, 18]",1273.0,3.4959349593495936
1,"[3, 11, 0, 19, 7, 6, 15, 2, 5, 17, 9, 1, 16, 14, 10, 4, 8, 13, 12, 18]",1259.0,2.3577235772357725
2,"[3, 9, 11, 17, 16, 5, 2, 19, 15, 12, 10, 1, 7, 0, 18, 13, 14, 6, 4, 8]",1277.0,3.821138211382114
3,"[3, 6, 19, 7, 17, 16, 0, 9, 1, 5, 2, 15, 14, 8, 10, 12, 18, 11, 13, 4]",1255.0,2.032520325203252
4,"[3, 1, 0, 7, 17, 2, 9, 16, 12, 11, 5, 14, 6, 13, 19, 8, 4, 15, 10, 18]",1272.0,3.4146341463414633
5,"[3, 6, 19, 0, 17, 16, 7, 2, 8, 15, 12, 5, 1, 4, 14, 9, 11, 18, 10, 13]",1262.0,2.6016260162601625
6,"[3, 11, 17, 16, 7, 19, 1, 9, 2, 14, 15, 6, 5, 0, 10, 8, 4, 13, 12, 18]",1261.0,2.5203252032520327
7,"[3, 6, 19, 17, 16, 5, 7, 0, 11, 1, 9, 2, 8, 14, 12, 13, 10, 4, 15, 18]",1260.0,2.4390243902439024
8,"[3, 17, 2, 7, 19, 5, 6, 16, 9, 11, 12, 1, 14, 15, 0, 8, 10, 13, 18, 4]",1287.0,4.634146341463414
9,"[3, 1, 7, 11, 9, 17, 16, 5, 15, 2, 12, 6, 8, 14, 19, 0, 13, 4, 10, 18]",1253.0,1.8699186991869918
